id,author,description
1434,@animegamigfunnyandhappy2626,@@nurafike279 gua setuju..
1435,@animegamigfunnyandhappy2626,"@@daffachannel252 Not apple to apple, Jaman dahulu rampasan jadi hak milik bagi pemenang, hasil rampasan menjadi omset pemenang, nah ini semakin banyak lu ngabisin Kuota, Mereka semakin cuan."
1436,@horizon-lb8sh,"Gile,banyak kali produk israelkll😢"
1437,@nivalkeren3398,Sudahkah kalian berfikir dampak tersebut... Ribuan bahkan ratusan ribu karyawan yg bekerja sebagai buruh pabrik di produk yg di boikot mereka punya keluarga pula... Sebelum Asala boikot liat dampak nya dulu Kita memang cinta palestina tpi bagaimana dengan sodara negri kita yg terkena dampak boikot tersebut... Saya yakin akan kuasa dzat yg maha sempurna Agama Allah akan menang pada waktunya
1438,@kingpower960,"Jagan lupa boikot komputer, elektronik canggih dan senjata buatan Israel dan AS... 😂😂😂😂"
1439,@Johny-yp9qz,"Yang bikin konten itu, sebaiknya menyadari fikiran nya! Terimakasih,"
1440,@dapinkutir7976,harus x pemerintak tidak impor dri israel
1441,@Johny-yp9qz,"Sebaiknya bijaksana, itu produk Indonesia/ nusantara, pekerjaan /karyawan kasian tau, itu anak bangsa Indonesia, boikot yg jenis import , pabrik di Indonesia/nusantara bikin ekonomi negara Indonesia..... Alasanya banyak! Sebaiknya berbijak dalam fikiran masing-masing. Tetap menghargai negara lain, di guncang guncang tidak enak, damai di hati terimakasih"
1442,@Ibud19,"Boikot itu cuma anjuran bukan aturan yang harus dilaksanakan, jd aksi boikot ini sudah sangat bijaksana."
1443,@baron7233,@@Ibud19 gimana mau disebut hanya anjuran klo MUI aja udah bikin fatwa haram
1444,@yoga_satria13,"😂😂 iya bener,mereka danone,unilever cuma punya saham doang,kalau emang bener dukung patungan,trus duit yg ke kumpul trus kasih ke pemerintah akusisi lagi aqua biar milik lagi indo,beli saham saham unilever saham danone,kalau boikot gini karyawan nangis bos bos nya masih pada ketawa di kantor pusat nya, Gua juga dri 2010 slalu dukung palestina di satu sisi kasihan sama warga palestina satu sisi kasian sama karyawan karyawan indonesia, Pemikiran gua bikin donasi aja akusisi saham saham danone dan unilever,mungkin ada kejadian gini saham mereka bisa anjlok nah tu beli."
1445,@user-ms6tm7ur6o,😂😂😂 hahaha... sodara penganguran tadi masih bisa makan alhmudlilah d palstine hanya menunggu bantuan dari negara2 lain buat makan ajah tetangga akah susah d palestine
1446,@Johny-yp9qz,"@@user-ms6tm7ur6o sebaiknya bawa fikiran penghidupan maju, fikiran rajin cari uang, dan menabung, mandiri dalam fikiran sendiri, terimakasih ya"
1447,@haifaauliababygirl9743,Bagaimana para karyawannya yg akan berdampak phk 😢
1448,@fajarnugraha5695,"Tenang aja selama belum di boikot pemerintah aman aman aja,strategi marketing mereka kan udah level dewa"
1449,@semangkasemangka5037,"Islam apbabi bangsat sekalian TAHU N TEMPE JNGN DI MAKAN YG MASIH MAKAN SAMA KEK BABI GAK PUNYA MALU ,KEDELAI NYA ASLI DARI AMERIKA PENDUKUNG ISRAEL ,,"
1450,@AzamNizam-on1lt,Saya nyimak aja ga bisa komen. Cuman saya cuma.berpesan tumbuhkanlah dahulu rasa kemanusian kita terhadap sesama manusia. Kekuatan penyedia alusista perang Dikarnakan banjirnya aliran dana berbagai bidang perdagangan dll. Yg menunjang suatu negara. Kenapa memboikot perdagangan israel. Supaya lemah pasokan keuwangannya. Dan ini jg berlaku bukan cuman diNEGARA Indonesia saja ... Maaf jika salh berpesan😊😊😊 Salam satu jiwakemanusian.❤❤❤
1451,@kangmashar1707,Emang AQUA produk israel ??
1452,@gunawanawan4189,Knp di tv masih di iklankan...
1454,@idcashflow,"ya elah, dari dulu jg begini, ga ngaruh apa2 koq"
1455,@whenyougetup74,"Alhamdulilah semakin banyak yang terpanggil untuk setidaknya melawan zionist yahudi, walaupun dengan cara² yang sangat sederhana, semoga cara sederhana ini bisa meruntuhkan kesombongan zionist yahudi, kaum yang telah Allah laknat. Kaum yang Allah telah janjikan akan dimusnahkan bahkan batu dan pohon pun memusuhinya"
1456,@roncungbbc1191,"Klu itu kita lakukan seperti yg dividio ini yakinlah.... perekonomian yg akan hancur, dan phk besar""an"
1457,@hermandoang3220,Bodoh...😂
1458,@kholilahmad1455,Kecap Bango perasaan dari Indonesia
1459,@qiu-qiuchannel9080,Kuat berapa lama gak pake produk israel
1460,@user-vx3dm8lj5l,Klo ada barang2 produk israel yang diharamkan daripada dibuang bawa sini gua tampung barang2 haram itu.
1461,@riowandi5705,"Jadi kalau di boikot,apa pekerja di perusahaan tempat tidak terdampak, mereka saudara kita juga.mereka harus menghidupi keluarga nya, terkadang sya jadi pusing juga.maaf sya hanya kepikiran aja"
1462,@Guntur-ji1lt,heran bngt msak gk blh beli yg slh kn pembuatnya bkn produkny kek bocil aj
1463,@buginezegaming56,Ohh baru tahu kecap bangao dari israel. Kirain kecap bangau dirawat di indonesia
1464,@dacirdaciran7833,"Manusia tolol , skalian hp mu haram kan tlol"
1465,@user-mg2rz2us2s,Oncom produk asli Bogor
1466,@HendrikCabe-sw7jj,Mana atuh produksi bangsa sendiri.ternyata selama ini kita beli Ama negara lain.apa tugasnya wakil wakil negara😂😂😂😂
1467,@athaullahshafwan2302,Jare sopo bangau dari negara babi
1468,@adidasofficial8138,Halah ribet amat lu mau minum atau mkn juga. Lebayyy
1469,@nopegulut7825,"Terserah kalian lahh, mau boikot kahh mau apa, yang penting produknya amanah"
1470,@M.iqbalwafiy0509,Mari berjihad dengan habisi produk Israel
1471,@libraokta7200,Kasihan warung yg sudah belanja Kasihan karyawan yg kerja di pabrik ..kasihan juga rakyat Palestina
1472,@mariyantosumawe1687,Bismillah semoga Palestina di Gaza baik saja biar lebih cepat bahagia ❤❤❤🤲🤲🤲🇵🇸🇵🇸🇵🇸
1473,@jihanvanesya,A indra penglihatan dan hati ❤
1474,@jihanvanesya,Aajwnnwnsnbebsmsnsnbdbsmsmsm❤
1475,@jihanvanesya,Anneiejgwkwjhjemnehememebevkmnbfknhwngwmwmnevuurnsbvejjegrhekinbvjenbwmwnwbegskmsnsbsb❤
1476,@RIZAAL220,Salah kamu itu gak semua yang kamu gak jadi beli itu bukan produk israel semua
1477,@jihanvanesya,Aasllmfllkgdikmhgikkrojggijfjtokggjghkjfikkjgkmjhfokjhgkkjjgikjgkmmhjkkj❤jjgkknbnmjvkkkhjkkkgkkmmhkkkk
1478,@jihanvanesya,Ajjojhgijngijjbfkkjgkknbijgoknbgjkmj❤hbnkbkmnvkmnbmmvkkhfhkkkjjjh
1479,@Dakwah_SN,Lho katanya kecap ABC juga produk yg pro isr**l
1480,@jihanvanesya,Aaakkjkknvlmjglkjhkkmjgklllkjokjj❤
1481,@irvaniwan8324,"Jika barang itu semua produk Israel, saya yakin keuntungan tersebut tidak sampai ke Israel, apalagi untuk membiayai agresi ke Palestina, karena sebelum sampai ke Israel sudah hilang termakan para koruptor 😅"
1482,@kunsuryatmono8674,Mereka para orang kaya dunia gol Iluminati Yahudi yg punya IMF itu yg bikin perdagangan bebas .. bisa beli saham2 semua produk2 apapun diseluruh dunia .. cuma modal nyetak duit kertas ga ada di backup emas.. ya begitu apa saja termasuk rokok indonesia dsb semua dikuasai yahudi ... itulah pasukan awal Dajjal..
1483,@dissyamarkan3480,"Yg harus di tahan itu yg importir dan produsennya. Kalau di dalam negeri produksinya, sama Distributor jangan di beli atau di pasarkan. Yg sbelumnya udah di beli sama pedagang kecil, kan percuma uangnya udah sampe jg ke Yahudi. Dan membikot warung kecil sama saja membunuh wong cilik kita juga"
1484,@john_labu07,alhamdulillah teruskan 👍💪
1485,@danistradline8955,"Sok sok an boykot boykot produk israel, sedangkan dy masih pake youtube, instagram, twiter, dan masih pake hp priduk israel.... Lu pkir klo lu boykot gini israel rugi, yg rugi tuh rakyat indonesia jg... Bnyak pabrik aqua, sariwangi di indonesia yg jd karyawan jg org indonesia mereka mncari nfkah buat keluarganya.. Klo dengan cara begini trus prusahaan glung tikar, karyawan kena phk, siapa yg rugi ???? Israel kah yg rugi ? Tolong lah klo pby otak tuh buat mikir, jngan cmn buat ikutan tren yg lg rame..... Klo mau boykot, boykot sklian apa yg udh lu gunain hp, yutub, IG bisa gk lu... Klo ga bs ga ush sok2 an ikut tren boykot sgala... Bodoh"
1486,@fardhurahman8126,"Gua muslim tapi gua nggak ikut ikutan, hidup di dunia sudah di atur, dan sudah ada takdir nya"
1487,@winatai-one9490,Anehhh
1488,@Deertha25,Begitu amat 😂
1489,@williamsadam9765,Kocak
1490,@RahmadArdi-gz2xu,Saya perantaw Sumatra di kota Bogor alhamdulilah punya warung sembako haram bagi saya menjual produk Israel boikot semua bukti dukungan saya pada rakyat Palestina
1491,@andri_meka,Emang israel bisa buat prodak gtu ya emang dri zaman kapan mereka aja sbuk perang tolong jelasin donk 😅
1492,@velll511,yg punya produk itu ngasih bantuan ke israel
1493,@yudoandrias2062,Cintailah produk2 dalam negri
1494,@abeygatsu,iPhone boykot belilah Samsung
1495,@IvankRizki-xz2zq,Cara boikot yg salah menurut saya.
1496,@meliyana6424,"Stop beli produknya""nya !"
1497,@cahndeshochannel2260,Terus yang agama non muslim gimana🤔
1498,@mansion4619,LANJUT KAN SAUDARA KU .. #BOIKOTISRAELPRODUK #FREDOM!!! #FREEPALESTINE
1499,@user-kv4sk3wj2w,Gk ada boikot jangan mikir diri sndri banyak org indo yang miskin yang butuh gembel banyak mau sok2 boikot
1500,@user-cd6sg1mp7g,Semoga banyak yg tau penyebab nya
1501,@erickeic9203,Buat barang tuh di indo bukan di luar. Kalo lo kaga beli itu prodak yg kerja di sini mau makan apa nnti !!??
1502,@alvianthyputryutamy7823,"Di sosmed doang lu bilang boikotlah, jangan beli lah, tapi faktanya lu masih beli"" produknya, masih makan kfc, mcd, starbucks, pizza hut. Mau keliatan keren dengan cara munafik ya😂,"
1503,@TurmudiTurmudiasep,Trus produk palestina yang mna..biyar sya bisa beli????..
1504,@user-sm3eg4qm8i,Apa kata saya...
1505,@ivangunawanhengkyk9366,Iki wong bodoh bsikot2 ... Ojok gae YouTube sisan
1506,@mrxray7932,"Maaf, itu semua produk buatnya dimana yah? Israel kah atau Indonesia?"
1507,@BambangSusilo-ik2mz,Di jadikan kesempatN untuk menghancurkan prodak lain yg jadi pesaing berat nya. Aku semakin yakin fitnah dajal benar2 sdh mulai bekerjamenyabar
1508,@hartonobeg6352,Berarti dr dl yg menggunakan produksinya haram donk
1509,@Miwensi,Dan kalian tidak sadar sudah membunuh rezeki rakyat indonesia sendiri
1510,@fahriahmad1206,Gini gw bingung gw kan warung dan gw jual royco udh lama sebelum boikot terus ini masih ada sisa di buang sayang di pake haram
1511,@nurlina9092,Roikokan ada logo halal
1512,@wiedouhutama157,"Teriak boikot2 tapi pakai internet, gadget, media sosial, dan alat elektronik buatan israel..?? 🤣😂🤣😂🤣 Ingatlah..!! Pikirkan berapa banyak suami-istri-anak dari karyawan yg kerja di perusahaan itu untuk menghidupi anak-istri-suami-org tua mereka..!!"
1513,@zaenalmukaromzaenal3514,TIDK BEGITU CARANYA BOIKOT.. STOP PRODUK NYA MASUK KE INDONESIA ITU BARU BENER
1514,@netero9244,"lg main boikot boikotan tahh??? 🤣 noh arab saudi gk mau embargo minyak buat israel 🤣 boikot juga dong karna bela israel , jgn naik haji brti 👻 eit jgn emosii"
1515,@o.a.m7954,"🤭🤭😆😆😆🤪🤪😛😛🤭😆😆😆 goblok yg d boikot itu produk dalam negeri juga, goblok2"
1516,@tothepoint6055,Hari ini di boikot.. Nanti kalau damai beli lagi... Kalau perang lagi boikot lagi.... Otak orang emang terbelakang
1517,@Cut_Throat_Only,Royco keperluan orang banyak
1518,@sakkhadamaraji3740,Fitnah terhadap produk Indonesia...jika kalian ikuti Bersiaplah mnghadapim kehancuran mlebihi palestia
1519,@Inceritaa,Angel temen uripmu
1520,@user-qn5qu1in9x,Gajelas ih sumpah ini video
1521,@user-rg2zf9el4g,PEMERINTAH STOP ❌❌❌⛔⛔⛔PRODUK ISRAEL ... INDONESIA SYURGANYA DUNIA 🤲🤲🤲🙏
1522,@KeanuYonas,Lu bukan miskinin Israel tapi lu miskinin warga sendiri dampak nya bakal gede bakal banyak pengganguran di Indonesia 😂 cara kayak begini gak ada dampak sama sekali ke Israel 😂 gw juga ngedukung Palestina merdeka free Palestine tapi cara gw berdoa agar warga Palestina kuat dan para syuhada syuhada disana surga bagi mereka. Bukan lu Mala miskinin rakyat sendiri Dongo 😂
1523,@razmage1579,Pemerintah lah yang bertanggung jawab atas semua ini😢
1524,@ikbalhadiansah5727,Sedang mencoba mebiasakan boikot brg2 tersebut smngat 💪💪💪
1525,@biso5749,"Bodoh dipiara…tapi masih pakai mobil, laptop hape toh…boikot jg dong…buang semuanya, pake onta aja yg asli arab…di mesjid jangan pake Toa…pake corong gwde aja…harus totalitas dong..jangan pake pesawat terbang juga…pake onta aja kemana-termasuk naik hajinya pake onta…😂"
1526,@rimbaputradewa8429,"masa sari wangi buatan israel,..."
1527,@Ntskyy,Video boikot di tiktok: 😊 Video boikot di yt: 💀
1528,@opiklokom3755,"Baru urusannya SMA anda apa,kita beli produk mereka krna kebutuhan Buat konten yg bermanfaat,bukan segala cara untuk mndptkn subscribe Kita subscribe dua ,dia dpt duit kita ma ngga🤷"
1529,@lapakponsel8475,Video sngat brguna... jd org2 dh tw yg mna aja produk zionis....
1530,@drO2Jam,"Kecap ABC, Heinz ya.. itu produk mana?"
1531,@dewiyss3780,semoga si kecil ngerti 😓 Aamiin 👍
1532,@RiyanPodok,Kami saudara diindonesia akan siap tidak membeli produk israel kami akan mendoakan saudara kami ( palestina)
1533,@aminblong7833,Saya baru tau kecap bango itu produk israel Aku kira produk indonesia
1534,@dendichrisman6038,Sama bang
1535,@Asianpost-hd7mk,"Buat yg ngerti industri, kenapa produk israel bahkan sebagian besar ada di negara ini??? Knp ini? Dan namanya nama indo. Contoh bango? Tolong jelaskan"
1536,@Mancing302,Yg punya Chanel kompotitor😂
1537,@Mancing302,Hoax
1538,@RudiRudi-ih2og,Nazis produksi Israel anjing yahudi biadab
1539,@aryoaryo2355,trus klo di boikot bagaimana saudara kita yang bekerja di pabrik mereka. .. apa pemerintah siap memberi pekerja\'an untuk berjuta juta pekerja..
1540,@yerushalayim_yishrael,keturunan ismael bodoh amin
1541,@michaelis2319,"kalo gw butuh ya ttp beli,, persetan boikot2 barang beli produk israel bukan berarti dukung mreka,, niat gw cuma bantu warung tetangga"
1542,@hunaifasada2271,Kemarin liat penjelasan kalau aqua gx ada sangkut pautnya ama israel..
1543,@EpicHD69,Kayaknya Israel ga punya produk sendiri deh😅😅
1544,@kvlnnguyieb9522,NGAKAK 😂😂😂 SEMUA PRODUK PENDUKUNG ISRAEL DRUN. KALAU BENAR2 MAU BOIKOT PRODUCTNYA ISRAEL. NIH PRODUK LANGSUNG YANG ISRAEL BIKIN. BOIKOT PENGGUNAAN SMARTPHONE KARENA ISRAEL ADA HAK PATEN LAYAR TOUCH SCREEN. KEMUDIAN DI SMARTPHONE ANDA ADA GPS ITU JUGA DARI ISRAEL. JANGAN PAKAI GPS. SELAMA INI JIKA KALIAN MENGGUNAKAN GPS UNTUK MENUNTUN PERJALANAN ANDA. ITU BERARTI SEBENARNYA KALIAN DITUNTUN OLEH ISRAEL AGAR TIDAK SALAH JALAN DAN MENUJU KE JALAN YANG BENAR
1545,@hideousnorton,Le minerale 15L udah langka 😢
1546,@alihamzah7539,"Hahaha, gw tetap beli karena itu hak saya sebagai pembeli 🇮🇩 ❤️ 🇵🇸"
1547,@Ferby_Samdo,"rakyat dsuruh boikot, tpi pemerintahnya jalin kerjasama minyak, brg² mentah, dll. kan gobl0k t0l0l dun9u kalian smua 😂 boikat boikot aja bisanya ngikut jdi ekor. perbanyak baca, perluas ilmu, bersatu, bikin teknologi tandingan, baru israel bisa dikalahkan. emang kalian mw boikot brp lama si?? palingan 1-2 bulan kdepan kalian beli lagi krn murah 🤣🤣🤣"
1548,@Udin_Soleh,"Ayo kita berjuan bersama... Semoga perjuangan kita tidak sia"" 🤲🤲"
1549,@agustian6584,"Mau di beli atau enggak itu uda gak guna.. itu barang sudah didistribusikan ke toko2,artinya sudah dibayar duluan ke israel baru dijual oleh pedagang di indonesia.. Kasian yg dagang.."
1550,@RifkiDeking,Dagangan ngk salah boikat boiket berdoa yg hushu
1551,@akumtea8476,"Banyak pertimbangan pemerintah untuk memboikot produk,karena di belakang nya akan ada banyak orang yg akan kehilangan pekerjaan,saya cuma bisa berdo\'a semoga saudaraku di Palestina di kuatkan sabar dengan ke adaan ini yg sudah meninggal semoga mereka jadi penghuni yg abadi."
1552,@Noahalfatih,"Betul..pola pikir anda benar, sekarang kita harus realistis...doa lah yg sekrang bisa kita perbuat..aamiin"
1553,@cicihandayani1690,"Sedangkan di palestina bukan hanya kehilangan pekerjaan aja bro,pasti Allah juga akan menggantikan yang lebih baik lagi"
1554,@rintanrenatta,Itu sebabnya org islam dilarang kerja dibawah naungan org kafir yg dzolim. Skrg sudah nasi jadi bubur.. Semua takut kehilangan pekerjaan dan mereka membantu org kafir yg dzolim itu dalam kedzolimanya
1556,@wuriprastutisoetardjo1185,"Orang Indonesia hanya kehilangan pekerjaan. Orang Palestina kehilangan rumah, keluarga bahkan RS dan fasilitas umum rusak. Pikir dong. Pertimbangkan dulu membela pekerja yg diboikot. Yg belum merasakan rusaknya negara lingkungan dan keluarga yg banyak meninggal pasti akan omong kasihan org Indonesia yg kehilangan pekerjaan karena diboikot. Hanya kehilangan pekerjaan, kalau beriman pasti Allah SWT akan mengganti yg lebih baik rezeki nya. ALLAH ITU SESUAI PRASANGKA KITA"
1557,@fendifathanrazanal-ghani7274,Wa di boikot
1558,@pendekarkebenaran29,Anda dukung Palestina karna agama atau perikemanusiaan di palestina juga ada kristennya sama juga di Israel begitu juga dengan agama mu jing😂
1559,@petrusbky5348,"hahaha, lanjutkan,ujung nyuci piring pake pasir"
1560,@iwiw12,"Boikot itu yg baru mau masuk dari luar negri ke Indonesia,,,kalo yg sudah terlanjur diwarung ya dibeli, kasian pedagang kecil..."
1561,@efraimhutasoit8771,"Kasihan saudara kita setanah air yg berkerja di pabrik dlam negeri ini,cepat atau lambat terjadi phk krna tidak ada gaji...produsen pun bisa saja membuka lapak di negara lain dgn mudahnya tapi saudara setanah air ini yg kasihan mnjdi pengangguran karena ego yg kurang bijak utk membela ""saudara beda negara"" di sana,padahal pemerintah sudah membantu utk palestine  pemerintah tdk ada sedikitpun statement utk memboikot produk yg bela israel...ini salah kaprah!! Karena pada dasarnya pasar tidak melihat politik/konflik negara tapi karena hanya tujuan Laba  kebetulan negara israel banyak Negara pendukung Yg memiliki konsumen besar..indonesia tidak termasuk kedalam pasar besar tapi kita sendiri yg merugi."
1562,@deprianibili2618,dasar fanatik tolol
1563,@erwinrommel7911,Walau beli produk cina lebih mending daripada produk israel ayok buat kaya koh xi jin ping
1564,@yonnzconstantine3784,youtube ama whatsapp kaga diboikot bang???
1565,@yudisetiawan3227,Carikan gantinya dong.. jangan asl boikot aja... Enak aj lu ngomong min
1566,@alyaherlina7110,"Saya kalau denger nama palestina pasti sedih nangis karna, kehilangan sodara ibu bapak ibu Ade kk cara kejam. Ayah saya aja meninggal karna sakit sudah jln dan udh waktu nya, sedih nangis gak terima apa lagi kematian sodara sodara kita di Palestina..salam damai y buat yang komen di sini ya..❤"
1567,@fortheternity5947,"Makin aneh jaman sekarang, emang iya ada unsur israelnya dimakanannya kan enggak toh, lagian juga yang buat orang indonesia tapi produk makanannya aja yang dikirim buat israel bener gak?"
1568,@mohamadromli4502,"Namanya kecap bango nama indo,tp punya Israel tolong yg bisa jelasin,karna aku ga paham"
1569,@manaquirinus453,Org muslim ada org terbodok sluru dunia..silakan d defenisikan sndri...😅😅😅😅nti klo ada yg blom paham bru aq jelaskan silakan komen
1570,@Leo12136,Produk Israel tidakpapa di beli kecuali mendukung Israelnya langsung
1571,@lancangsuksesmandiri6277,Produk elektronik apple knp ga sekalian ikut diperintahkan boikot ya ?
1572,@furnitureakalakalan6075,Kui opo tenan??? Opo gur fitnah belaka
1573,@triiutami8486,Padahal enakan le mineral seger terus
1574,@user-hz7zf4fc8e,Kalau produk israel ada di indonesia itukan udah di proses dengan indonesia dan halal dan doakan palestine❤❤
1575,@bayuwahyudin5059,"sy setuju boikot....tapi ingat klo ingin memberikan sanksi secara ekonomi,maka ekonomi kita harus kuat dulu... aksi solidaritas harus tapi harus di perhitungkan dampak bagi ekonomi kita..."
1576,@ikhwanwahyudi815,Kok Israel semua...bukankah itu produksi Indonesia?
1577,@user-ue9nk4vm4b,Berat tapi sy sdh gak pakai aqua di toko sya.padahal galonnya byak...smoga allah mencatat sya jga empati pada saudara palestina
1578,@komiser8104,Bg yang ku tau seksrang royco tidak ada merek unilever bg
1579,@AdeFatriadi,"Sariwangi bagaimana bisa milik israel, baru tau saya...kalo begitu sy g akan pernah beli lagi"
1580,@agusmail6327,Ciri2 produk Israil kayak gimn
1581,@indradirgantara-dd2sn,Saya sih setuju... Dgn cara apapun kita dukung Palestina
1582,@Djamalparizi93,"yg saya bingungkan disini,, kenapa ga di tutup aja exspor dari negara pro israel,,kalau dah disini dilarang kan lucu indonesia🤣🤣🤣"
1583,@kurniawansukamto9951,goblok kok dikuti
1584,@mbaesangkil6242,Baikot Chanel seperti ini
1585,@ismanismun5736,Bangkrutlah kalian yahudi bani israil DUNIA AKHERAT!
1586,@akimhaikal4356,Kenapa makanan aja yg korg boikot. Hp gak di boikot
1587,@YSR_TRANS3117,"Saya bukan nya pake produk Israèl tapi sebenarnya Aqua tidak mendukung atau Memproduksi Ke Israèl Jadi yang di katakan kalo Aqua produk Israèl itu salah besar Aqua tidak pernah dukung Israèl itu hanya Hoax, Stop sebar Berita Hoax"
1588,@Z-ONE.,Emang Israel buat produk itu?
1589,@slebewww3286,"gua bingung, klw pilih"" ky gini, gk tau mana yg Israel mana yg Indonesia, kirain gua itu produk kita semua 😅"
1590,@lilikbadriyah,"jauh sebelum isu boikot ini muncul, saya sdah stop pake produk² uni***.tepatnya pas tau bahwa mereka mendukung elgebete.terbayang nanti pas yaumulhisab 😭"
1591,@fauzirizalfaisal,WA udh di boikot blum 😅😂
1592,@Wawan-xu6bj,Boikot produk Israel babi
1593,@SofieSabrina-mk6yd,klo semuanya pda gk boleh bkin sndri apakah kita bisa hdup sbtng kara tnpa ada bntuan dn tiruan bisa mati kita semuanya klo ngandelin ego dn emo aja...klo semua islam kita percya masih ada allah swt yg slalu mnjga kita dn allah itu gk akan tdr jd jelas siapa yg slah dn siapa yg bnar yg pnting yg kita makan dri dlu smpe skrg msh ada itu halal pham kah dari sini....
1594,@SofieSabrina-mk6yd,kdng heran jga sm orng2 stlah udh perng bgni dri dlu knp semuanya pda gk nyadar klo semua produk2 dn slama ini kita slalu komsumsi bhn2 pokoj sprti brand2 atau produk2 dri negara2 luar sprti izrael ini dn bberpa negara2 lainnya....coba dipikir slama ini dari kita masih kecil dn gk tau apa2 dn sblm trjdi peperngn izrael dn palestine prtma kluar bhn2 atau produk2 sperti oreo dn pepsodent dl knp kita semua masih komsumsi itu semuanya sdngkn sudh sprti ini semua orng seolah maau sprti mau brdiri sndri.. tnpa memikirkn anak2 kita yg bru lahir dn msih kcil itu butub gizi sprti 4 shat dn 5 smpurna...biarlah peperngn itu trjadi kita doakan semuanya suapaya bisa menyelesaikan perselihan kontak senjata atau apa lah dn cpt slesai dn damai sluruh dunia ingt msih ada allah swt dn pra pngikutnya allah swt itu insyallah bkl ada azab dari maha kuasa ilahi jd kita sbagai manusia tlonglah pikir pnjng jgn emosi dn ego aja yg diandalkan tp bgaimana kita bsa hdup smpe umur dipnggil
1595,@budiadiadi3994,hancurkan israel dng memboikot produknya
1596,@alyutyutyut3371,Nah ini bukti kepedulian kita terhadap negri terjajah senkaligus tidak .membatu palestina mantap
1597,@falerinsimay205,"Hati hati abc punya amerika sekutunya israel , hoax goblok nih vide"
1598,@user-uj6tf9ue4l,mantap boikot produk yg terafiliasi dg zionis Israel. ini kesempatan untuk produk anak negri yg menguasai pasaran khususnya di dalam negeri
1599,@mohnurhidayat1706,warung² kecil mohon untuk tidak belanja merek² itu. karna nanti klw gk laku rugi banyak lho...
1600,@astariedtz1630,Ini produk indonesia
1601,@ngopigays101,Kalo gt jangan pakai.internet kalian smua kadrun idiot dan munapik😂
1602,@zzwp184,Aqua kena bertubi-tubi.... Habis rame bahan galon sekarang malah kena boikot
1603,@user-mi4ns9il4v,"tanggung klu cuma makan minuman yg diharamkan semua produk saja. selain semua penjual merugi, pabrik merugi, salesman merugi, buruh atau karyawan merugi. Semua produk aja... Teknologi dll juga."
1604,@lutvhipath7072,Bisa dilaporin ini berita HOAX ... kena pidana
1605,@indonesiaina8682,Selama ada produk alternatif.. Maka kami sepakat untuk Boikot
1606,@labelto1327,😂😂😂😂😂😂😂ini contoh kelakuan org2 tolol bin munafik. Lo pikir produk israel itu aja? Yutub facebook instagram apa kabar woyy dunguuu
1607,@tremozzzlaut9624,Dah lah gak usah lebay.... orang sama sama kebutuhan setiap manusia kok...
1608,@ejeeje573,Trmksh sy jd tau.. mna yg hrs sy beli...
1609,@masdiyono375,mari kita bantu dengan cara yg bisa kita lakukan untuk saat ini ❤🇵🇸
1610,@lucass1238,Aqua produk israel?
1611,@mukbangindonesia1,Ayo kompak beralih sama produk dalam negeri.. semngt saudaraku.mulai lah dari keluarga sendiri
1612,@bogelrama9803,"Boikot produk Israel tpi masih main media sosial, agak aneh"
1613,@KejuKenteL,TURUNAN PRODUK UNILEVER. YG DI BOIKOT
1614,@agusherlambang5158,Free free palestine ❤
1615,@doelkemit2425,😂😂😂😂😂😂. Numpang senyum
1616,@jusuf_muhammad8860,nestle?
1617,@putrisitanggang6173,Jgn lah nampak x munafik nya kawann.. Kalau mau boikot jgn satu satu.. Sekalian boikot tempt kerjamu. Liat kau kerja sama sapa.. Ada gak kerja sama dengan antek sanaa. Kalau mau save palestine.. bukan gini caranya Berdoa.. bawa dia dalam doa mu. Biar cepat damai
1618,@JokoPentol-ur2tx,Trimh kasih palestin jay selalu❤❤❤
1619,@dimasfns3386,"Kumpulan orang munafik... ngapain boikot tapi lu liat disini. Yt buatan AS, hp yang kau pake itu awalnya dari mana Indo ? Kita ingin Palestina merdeka dan sepemikiran, yg perang disana eh disini yang ribut sendiri kagak jelas. Kecuali pemerintah gk bergerak lah itu baru kita demo, lah ini pemerintah dan banyak negara mau mendamaikan disini malah ngelakuin yang gak bermanfaat. Jangan lupa banting itu HP dan gak usah main YT sekalian kalo emang niat."
1620,@bramvano5655,"bebal dan susah bro, kalo adu argumen dengan mereka si paling suci untuk masalah ini. Standar ganda kemunafikan"
1621,@ketuamirman9298,Betul betul... Aku setuju😊😊
1622,@cadbali6206,Kalo aku yang penting gak mempersulit diri sendiri Anti boikot produk
1623,@afiatunatun8545,"Aneh aneh aja di suruh baikot, hp km aj yg buat rekam buat video buatan sekutu israel..."
1624,@A3305ZKM,Aqua kecap Bango emang dari Israel ?
1626,@baronazkar1715,"Ad2 aja, km min.. Kalo mw buat konten itu yg masuk akal. Jangan di bikin x semua.. Yg penting iman kita kuat dan niat kita.. Allohuakbar. Takbir"
1627,@redmiempata-nh3hp,gak ngefek .. jangan munafikkk
1628,@ROGPhone7-ef8ew,Ijin mau tertawa... Ehhehehehheehehehehehhehehhe
1629,@user-xu3tx8qh3o,Produk Israel kok mana lemon
