id,author,description,clean,sentiment
136,@adnyanisiwi8785,"Klo produknya dr luar alias impor sah sah aja tp klo pabriknya di indo nesia yg nyari mkn org indonesia apa mau motong pencarian nafkah orang orang tersebut, emang ga ada cara lain kah??",klo produknya dr luar alias impor sah sah aja tp klo pabriknya di indo nesia yg nyari mkn org indonesia apa mau motong pencarian nafkah orang orang tersebut emang ga ada cara lain kah,negative
137,@rinohadiprojo2268,"Padahal kecap abc malah udah jelas produk dari heins US, 😅",padahal kecap abc malah udah jelas produk dari heins us,neutral
138,@user-ur1hn6jk5j,produk haram 🤣 zionis israel ganti produk indonesia 🇮🇩❤,produk haram zionis israel ganti produk indonesia,negative
139,@fidelisjoash,itu cuma beli cabang nya di Israel tapi itu yg buat orang Indonesia kalo itu di baikot orang Indonesia rugi nanti yg kerja di pabrik g di gaji karena g laku lu jangan kaya gitu kasian yg kerja di pabrik,itu cuma beli cabang nya di israel tapi itu yg buat orang indonesia kalo itu di baikot orang indonesia rugi nanti yg kerja di pabrik di gaji karena laku lu jangan kaya gitu kasian yg kerja di pabrik,negative
140,@cahyono35,Orang2 bego,orang bego,negative
141,@cahaya_mega,"jangan membantu Israel yahudi yang sedang menjajah Islam,palestina, jika kita membeli produk mereka maka mereka mendapat keuntungan menambah modal untuk menjajah ,",jangan membantu israel yahudi yang sedang menjajah islampalestina jika kita membeli produk mereka maka mereka mendapat keuntungan menambah modal untuk menjajah,negative
142,@vegadio1924,Taek,taek,negative
143,@JELLYSEVEN153,yang penting kata ibu gw juga ada logo halalnya,yang penting kata ibu gw juga ada logo halalnya,neutral
144,@adieprayoga7186,"Boikot"" taik lahh.......",boikot taik lahh,negative
145,@jimykabnani4049,Konten bodoh,konten bodoh,negative
146,@ridwanethed7985,Emang itu buatan Israel ya???,emang itu buatan israel ya,negative
147,@begorosominiaturexcavator5827,"Tp knpa y,israel yg notabene negara kecil,tp bsa mnguasai produk2 yg notbane kbtuhan manusia,sampai d export d negara2 yg jauh lbh besar drinya. Pelajari kejeniusannya Jangan tiru sifat buruknya",tp knpa yisrael yg notabene negara keciltp bsa mnguasai produk yg notbane kbtuhan manusiasampai export negara yg jauh lbh besar drinya pelajari kejeniusannya jangan tiru sifat buruknya,negative
148,@bayurocky1326,"Perusahaan yg support Israel tidak hanya Unilever tapi ada juga Danone, Nestle, L\'oreal itu semua banyak produk turunannya di Indonesia, tinggal cek aja klw ada nama perusahaan itu dibungkusnya",perusahaan yg support israel tidak hanya unilever tapi ada juga danone nestle loreal itu semua banyak produk turunannya di indonesia tinggal cek aja klw ada nama perusahaan itu dibungkusnya,neutral
149,@user-cb8bc4ch8b,"ABC Heinz orang tua grup, bukan pro Israel ya. Koreksi klo salah",abc heinz orang tua grup bukan pro israel ya koreksi klo salah,negative
150,@sandryaroma6477,"Susah sih mau boikot gimana pun, sebab kalau air dari aqua ganti ke leminerale emang bagus, tapi saya yang pengguna leminerale dari dulu sekarang tiba² sudah lebih dari 2 minggu produknya kosong yang galon, sebab barang habis sebelum sampai terutama wilayah DI Yogyakarta, alhasil mau gak mau beli Aqua, tolong dong pihak leminerale tingkatkan kuantitas produknya",susah sih mau boikot gimana pun sebab kalau air dari aqua ganti ke leminerale emang bagus tapi saya yang pengguna leminerale dari dulu sekarang tiba sudah lebih dari minggu produknya kosong yang galon sebab barang habis sebelum sampai terutama wilayah di yogyakarta alhasil mau gak mau beli aqua tolong dong pihak leminerale tingkatkan kuantitas produknya,negative
151,@majidkobat8429,"Pabrikny d Indonesia d boikot karyawan ngelunjak mnta pekerjaan, dasar bodoh minimal beragama pake otak gk pake nafsu😂, emng jualan isu palestina israel paling laris",pabrikny indonesia boikot karyawan ngelunjak mnta pekerjaan dasar bodoh minimal beragama pake otak gk pake nafsu emng jualan isu palestina israel paling laris,negative
152,@majidkobat8429,Boikot2 trus gk inget Instragram YouTube jg iya 😂,boikot trus gk inget instragram youtube jg iya,negative
153,@yuliusyuliustandisambeanig7786,boikot boikot emang lu pikir negara ini makmur buktinya banyak orang susah cari kerja,boikot boikot emang lu pikir negara ini makmur buktinya banyak orang susah cari kerja,negative
154,@sonnieragielta6356,Mending admin suruh liat podcast deddy corbuzer ..biar cerdas ...!!,mending admin suruh liat podcast deddy corbuzer biar cerdas,neutral
155,@vlogAdi-ru8bw,yang penting halal kok,yang penting halal kok,positive
156,@acsoccer3157,Membela palestina tapi membuat menderita saudara sebangsa terutama para UMKM😢,membela palestina tapi membuat menderita saudara sebangsa terutama para umkm,negative
157,@rahmath.5629,Jepang kan pro Yahudi juga kan,jepang kan pro yahudi juga kan,negative
159,@anisaja849,Boikot juga google biar kalian juga mampus sendiri orang kok pada sok Sok an,boikot juga google biar kalian juga mampus sendiri orang kok pada sok sok an,negative
160,@Pendekar1926,"Entah kenapa saya rasa sistem aturan kepemerintahan sudah bobrok,,, Mereka mengatakan boikot tapi Tetap menampung produk import dari luar😢#Miris",entah kenapa saya rasa sistem aturan kepemerintahan sudah bobrok mereka mengatakan boikot tapi tetap menampung produk import dari luar miris,negative
161,@user-bz7kq2yc8e,Baikot tau embargo Di Indonesia,baikot tau embargo di indonesia,negative
162,@AnonymITOps,usaha semampumu membantu palestina meskipu hanya seribu tinggal milih bantu Zionist atau free palestine... gausah jauh2 mikir pabrik tutup karyawan pecat atau apalah semua demi palestina... sekali lagi mau belanja dan mengalirkan untuk zionist??? lagian ada alternatif produk lokal ngapain ga didukung... #baikotproisrahell,usaha semampumu membantu palestina meskipu hanya seribu tinggal milih bantu zionist atau free palestine gausah jauh mikir pabrik tutup karyawan pecat atau apalah semua demi palestina sekali lagi mau belanja dan mengalirkan untuk zionist lagian ada alternatif produk lokal ngapain ga didukung baikotproisrahell,negative
163,@Bazzer953,Gua mah kagak peduli,gua mah kagak peduli,negative
164,@TengkuHendra-wi4th,Serba salah memang.maka kita bangsa indonesia harus berpikir lagi,serba salah memangmaka kita bangsa indonesia harus berpikir lagi,negative
165,@rian132ful,Senjata kita juga bisa dari produk2 itu. Di dunia yg udah terlanjur mengglobal ini semua terkoneksi,senjata kita juga bisa dari produk itu di dunia yg udah terlanjur mengglobal ini semua terkoneksi,negative
166,@ndanbos,"Yg jelas unilever nggak bisa bs,",yg jelas unilever nggak bisa bs,negative
